Gads,Skola,Vietas
1982,Rīgas 1.vidusskola,10
1982,Alsungas vidusskola,1
1982,Rīgas 4.vidusskola,1
1982,Dobeles 1.vidusskola,1
1982,Līvānu 1.vidusskola,1
1982,Tukuma 1.vidusskola,1
1982,Liepājas 10.vidusskola,1
1982,Jēkabpils 1.vidusskola,1
1982,Rīgas 58.vidusskola,1
1982,Ventspils 1.vidusskola,1
1982,A.Upīša Skrīveru vidusskola,1
1982,Varakļānu vidusskola,1
1982,Cēsu 1.vidusskola,2
1983,Alūksnes 1.vidusskola,1
1983,Rīgas 1.vidusskola,3
1983,Rīgas 25.vidusskola,1
1983,Tukuma 1.vidusskola,1
1983,Smiltenes vidusskola,1
1983,Rēzeknes 5.vidusskola,1
1983,Salaspils 1.vidusskola,1
1983,Viļānu vidusskola,1
1983,Balvu 1.vidusskola,1
1983,Ventspils 1.vidusskola,1
1983,Preiļu 1.vidusskola,1
1983,Liepājas 1.vidusskola,1
1983,Aizputes vidusskola,1
1983,Bauskas 1.vidusskola,1
1983,Dobeles 1.vidusskola,1
total,Rīgas 1.vidusskola,13
total,Alsungas vidusskola,1
total,Rīgas 4.vidusskola,1
total,Dobeles 1.vidusskola,2
total,Līvānu 1.vidusskola,1
total,Tukuma 1.vidusskola,2
total,Liepājas 10.vidusskola,1
total,Jēkabpils 1.vidusskola,1
total,Rīgas 58.vidusskola,1
total,Ventspils 1.vidusskola,2
total,A.Upīša Skrīveru vidusskola,1
total,Varakļānu vidusskola,1
total,Cēsu 1.vidusskola,2
total,Alūksnes 1.vidusskola,1
total,Rīgas 25.vidusskola,1
total,Smiltenes vidusskola,1
total,Rēzeknes 5.vidusskola,1
total,Salaspils 1.vidusskola,1
total,Viļānu vidusskola,1
total,Balvu 1.vidusskola,1
total,Preiļu 1.vidusskola,1
total,Liepājas 1.vidusskola,1
total,Aizputes vidusskola,1
total,Bauskas 1.vidusskola,1
